USER_ID,MYID,ACCOUNT,NAME,ORGANIZE_ID,ORGANIZE_NAME,DUTY_ID,TITLE_ID,PASSWORD,EMAIL,LANG,THEME,FIRST_VISIT,PREVIOUS_VISIT,LAST_VISITS,LOGIN_COUNT,ISEMPLOYEE,STATUS,IP,DESCRIPTION,QUESTION_ID,ANSWER,ISONLINE,CREATED,LASTMOD,CREATER,MODIFYER,TEL,stuNo,qq,weixin,meal_arithmetic_id,arithmetic_name,sex,poo,address,age
1,admin,超级管理员,admin,130,根目录,,,202cb962ac59075b964b07152d234b70,12@qq.com,,,,,,,,,,超级管理员,,,,,2014/5/27 15:37,1,1,13065432283,ab,398125079,398125079,,22,男,广东广州,泰迪科技,23
141,,华师管理员,hsadmin,254,华南师范,,,202cb962ac59075b964b07152d234b70,,,,2015/12/17 18:53,,,,,,,,,,,2015/12/17 18:53,2017/6/6 18:55,1,1,,,,,,,,,,
142,,1班老师,1bls,301,统计1班,,,202cb962ac59075b964b07152d234b70,,,,2015/1/13 13:13,,,,,,,,,,,2015/1/13 13:13,2017/6/6 18:56,1,1,,,,,49,333,,,,
144,,广州师范管理员,gsadmin,302,广州师范,,,202cb962ac59075b964b07152d234b70,,,,2014/4/4 11:11,,,,,,,,,,,2014/4/4 11:11,2017/6/7 18:04,1,1,,,,,,,,,,
145,,广师1班老师,gs1b,303,广师一班,,,202cb962ac59075b964b07152d234b70,,,,2015/2/14 11:21,,,,,,,,,,,2015/2/14 11:21,2017/6/7 18:07,144,144,,,,,,7,,,,
175,,哈哈哈,bb,303,广师一班,,,202cb962ac59075b964b07152d234b70,,,,2014/7/21 18:17,,,,,,,,,,,2014/7/21 18:17,,145,,13434444444,43243,,,,7,男,广东,广州,11
176,,打撒,fsfds,303,1班,,,202cb962ac59075b964b07152d234b70,,,,2014/2/26 13:08,,,,,,,,,,,2014/2/26 13:08,,145,,,111111,,,,7,女,广东广州,广州,21
177,,冠福股份,a2231,303,1班,,,202cb962ac59075b964b07152d234b70,,,,2014/2/13 13:30,,,,,,,,,,,2014/2/13 13:30,,145,,,666666,,,,7,女,广东广州,广州,21
179,,彼此彼此,a4iuyiuy,303,1班,,,202cb962ac59075b964b07152d234b70,,,,2014/11/23 17:02,,,,,,,,,,,2014/11/23 17:02,,145,,,888888,,,,7,男,广东广州,广州,23
180,,太热,a5xzcvc,303,1班,,,202cb962ac59075b964b07152d234b70,,,,2014/2/28 11:56,,,,,,,,,,,2014/2/28 11:56,,145,,15577774944,999999,,,,7,女,广东广州,广州,22
954,,产品,chanpin,310,产品中心,,,202cb962ac59075b964b07152d234b70,,,,2015/1/16 19:02,,,,,,,,,,,2015/1/16 19:02,2017/7/13 14:47,1,1,,,,,,,,,,
955,,演示,tdadmin,304,泰迪餐饮,,,202cb962ac59075b964b07152d234b70,,,,2015/7/6 11:19,,,,,,,,,,,2015/7/6 11:19,2017/7/13 14:47,1,1,,,,,,,,,,
